Category,Image,Sil_5,Sil_10,Sil_20,Sil_30,Sil_40,Sil_50,Sil_60,Sil_80,Sil_100
train,000_2_c2_001109,1,6,8,7,24,5,38,29,68
train,000_2_c2_001110,1,6,18,7,24,44,8,44,25
train,000_2_c3_001074,3,4,2,29,19,8,5,26,40
train,000_2_c3_001111,1,7,9,22,13,16,1,21,7
train,000_2_c3_001112,0,5,5,17,25,12,55,2,72
train,000_2_c3_001113,1,7,1,13,25,7,1,15,35
train,000_2_c3_001114,0,6,6,21,3,23,56,60,5
train,000_2_c3_001115,0,2,15,14,33,11,31,33,90
train,000_2_c3_001116,4,1,7,11,11,40,3,20,15
train,000_2_c3_001117,1,9,1,23,1,10,14,10,53
train,000_2_c3_001118,1,6,13,7,2,12,8,44,37
train,000_2_c3_001119,2,5,5,17,25,31,55,2,72
train,000_2_c3_001120,0,2,15,14,33,11,31,31,26
train,000_2_c3_001121,1,6,6,13,17,36,9,28,5
train,000_2_c3_001122,1,7,1,13,1,7,1,15,39
train,000_2_c3_001123,4,5,0,28,25,7,52,37,86
train,000_2_c3_001124,2,0,4,0,8,29,20,72,81
train,000_2_c3_001125,1,9,3,23,37,28,39,4,99
train,000_2_c3_001126,1,6,13,13,17,36,9,50,39
train,000_2_c3_001127,3,3,4,15,35,45,13,16,69
train,000_2_c3_001128,4,9,7,19,4,24,3,25,42
train,000_2_c3_001129,3,3,4,15,36,45,13,7,69
train,000_2_c8_001130,2,3,4,0,23,29,47,68,21
train,000_2_c8_001131,4,1,0,28,14,13,2,64,17
train,000_2_c8_001132,1,6,18,27,15,44,7,44,25
train,000_2_c8_001133,2,5,19,8,27,27,20,69,73
train,000_2_c8_001134,4,1,7,11,11,4,33,58,85
train,000_2_c8_001135,2,3,4,0,5,29,13,22,81
train,000_2_c8_001136,3,4,3,20,19,14,18,45,40
train,000_2_c8_001137,1,4,13,23,18,17,39,10,53
train,000_2_c8_001138,3,8,16,12,31,20,23,54,54
train,000_2_c8_001139,4,1,7,11,11,4,3,5,85
train,000_2_c8_001140,2,0,17,16,5,9,26,41,8
train,000_2_c8_001141,0,7,9,22,25,7,56,37,89
train,000_3_c10_001142,1,6,13,7,24,5,40,6,75
train,000_3_c10_001145,1,5,8,10,9,12,4,37,25
train,000_3_c10_001146,3,4,3,29,18,5,40,6,75
train,000_3_c10_001147,1,9,3,5,37,28,25,49,88
train,000_3_c10_001148,3,4,3,5,37,28,25,49,40
train,000_3_c10_001149,3,8,12,1,32,18,59,43,19
train,000_3_c10_001150,4,1,10,26,21,3,2,61,48
train,000_3_c10_001151,2,5,5,9,23,49,4,68,23
train,000_3_c10_001152,1,6,13,7,24,2,39,13,30
train,000_3_c10_001153,2,4,17,17,5,0,26,36,83
train,000_3_c10_001154,3,3,2,15,16,35,24,1,69
train,000_3_c10_001155,4,7,9,22,13,16,1,21,7
train,000_3_c10_001156,4,5,0,27,27,27,52,69,86
train,000_3_c2_001157,1,4,3,5,37,28,25,45,40
train,000_3_c2_001158,1,9,1,10,9,33,41,28,76
train,000_3_c2_001159,3,8,12,5,22,6,18,45,40
train,000_3_c2_001160,3,8,19,20,19,39,0,77,9
train,000_3_c2_001161,0,2,8,20,12,14,54,66,79
train,000_3_c3_001143,3,3,4,0,35,19,34,22,18
train,000_3_c3_001144,2,0,17,16,26,9,57,39,50
train,000_3_c3_001162,1,6,6,10,10,25,22,13,5
train,000_3_c3_001163,1,6,13,7,24,2,8,6,65
train,000_3_c3_001164,1,6,6,17,2,0,47,79,1
train,000_3_c3_001165,1,6,14,13,17,36,21,78,92
train,000_3_c3_001166,2,3,4,0,36,29,13,68,49
train,000_3_c3_001167,3,3,2,15,36,45,27,9,29
train,000_3_c3_001168,2,5,5,17,2,12,47,79,1
train,000_3_c3_001169,2,0,4,0,8,29,20,72,81
train,000_3_c3_001170,1,9,1,23,1,10,14,70,91
train,000_3_c3_001171,1,7,9,22,28,7,42,15,63
train,000_3_c3_001172,1,9,1,19,30,10,14,70,79
train,000_3_c3_001173,4,1,0,28,34,37,44,76,70
train,000_3_c3_001174,2,0,17,16,26,9,57,39,50
train,000_3_c3_001175,2,3,4,15,36,29,13,27,49
train,000_3_c3_001176,1,9,1,13,1,33,9,70,91
train,000_3_c3_001177,2,5,5,17,28,0,42,79,63
train,000_3_c3_001178,3,8,16,12,31,20,23,54,54
train,000_3_c3_001179,1,6,2,7,16,35,24,1,46
train,000_3_c3_001180,2,0,0,8,23,49,20,72,80
train,000_3_c8_001181,2,0,19,8,8,39,16,11,9
train,000_3_c8_001182,2,5,5,9,23,49,47,68,49
train,000_3_c8_001183,3,4,11,20,12,6,0,66,55
train,000_3_c8_001184,4,1,0,28,14,13,2,30,4
train,000_3_c8_001185,3,4,11,3,22,6,15,8,82
train,000_3_c8_001186,3,4,14,18,39,17,18,36,71
train,000_3_c8_001187,2,0,17,16,5,9,57,39,80
train,000_3_c8_001188,4,1,10,26,21,38,46,61,48
train,000_3_c8_001189,2,3,4,0,5,19,26,41,94
train,000_3_c8_001190,3,8,16,12,31,20,36,16,41
train,000_3_c8_001191,3,8,16,12,31,20,36,54,41
train,000_3_c8_001192,2,3,5,17,2,0,47,79,21
train,000_3_c8_001193,3,8,11,3,22,21,11,62,54
train,000_3_c8_001194,4,1,0,28,14,13,48,30,58
train,000_3_c8_001195,2,5,8,2,12,43,0,64,74
train,000_3_c8_001196,4,0,17,16,26,1,35,67,93
train,000_3_c8_001197,3,3,14,15,36,45,13,63,69
train,000_4_c10_001198,4,7,9,22,13,16,1,21,7
train,000_4_c10_001199,1,7,9,13,13,16,1,21,7
train,000_4_c10_001200,0,5,5,17,25,43,55,64,72
train,000_4_c10_001201,4,7,1,22,30,26,30,21,7
train,000_4_c10_001202,4,1,10,11,21,38,45,71,66
train,000_4_c3_001203,3,3,4,15,36,29,13,22,94
train,000_4_c3_001204,1,6,13,13,17,12,8,50,37
train,000_4_c3_001205,0,6,6,17,28,0,38,13,1
train,000_4_c3_001206,1,4,2,7,16,35,24,1,33
train,000_4_c3_001207,0,7,9,21,20,31,12,47,73
train,000_4_c3_001208,2,0,19,8,8,39,16,11,9
train,000_4_c3_001209,0,6,18,27,15,12,55,23,43
train,000_4_c3_001210,4,7,9,22,13,16,33,21,22
train,000_4_c3_001211,3,3,4,15,36,29,27,27,18
train,000_4_c8_001212,3,8,16,12,31,20,23,54,41
train,000_4_c8_001213,1,9,1,23,1,10,41,10,3
train,000_4_c8_001214,1,7,1,13,1,7,14,48,7
train,000_4_c8_001215,3,8,11,3,22,21,11,62,82
train,000_4_c8_001216,4,1,10,26,21,3,48,61,58
train,002_1_c2_003473,4,1,10,28,26,13,10,32,48
train,002_1_c2_003474,1,6,18,27,15,44,7,23,77
train,002_1_c2_003475,1,9,8,2,12,46,19,73,68
train,002_1_c2_003476,1,6,8,10,9,33,29,19,68
train,002_1_c2_003477,4,9,8,19,30,1,44,5,31
train,002_1_c2_003478,3,4,3,24,38,30,53,52,51
train,002_1_c2_003479,1,9,3,24,38,42,19,57,11
train,002_1_c2_003480,1,6,13,7,24,5,40,6,30
train,002_1_c2_003481,4,1,7,11,11,40,45,20,15
train,002_1_c2_003482,1,9,1,23,1,10,14,10,91
train,002_1_c2_003483,1,9,3,24,38,42,19,57,11
train,002_1_c8_003472,1,9,1,19,4,24,30,25,24
train,002_1_c8_003484,4,7,9,22,13,16,33,21,44
train,002_1_c8_003485,4,5,9,22,25,43,42,64,72
train,002_1_c8_003486,4,7,9,22,13,26,33,21,44
train,002_1_c8_003487,4,7,9,22,13,26,33,21,44
train,002_1_c8_003488,1,6,13,7,24,2,28,13,98
train,002_1_c8_003489,1,4,3,29,18,5,40,29,75
train,002_1_c8_003490,3,3,14,18,39,45,58,63,6
train,002_1_c8_003491,3,4,2,20,16,35,24,1,33
train,002_1_c8_003492,1,9,3,5,37,28,25,49,93
train,002_1_c8_003493,2,5,5,9,23,49,6,65,73
train,002_1_c8_003494,4,7,9,22,13,37,33,76,48
train,002_1_c8_003495,1,6,13,23,24,2,38,10,39
train,002_1_c8_003496,3,8,11,0,35,19,34,41,18
train,002_1_c8_003497,2,5,19,8,25,31,42,15,73
train,002_1_c8_003498,1,9,13,23,24,10,14,10,3
train,002_1_c8_003499,2,0,19,8,8,39,16,11,9
train,002_1_c8_003500,4,7,8,2,30,26,29,19,52
train,002_1_c8_003501,4,1,7,6,6,4,44,5,85
train,002_1_c8_003502,2,0,17,16,26,9,57,39,50
train,002_1_c8_003503,1,9,14,18,39,32,58,63,53
train,002_2_c10_003504,4,1,17,16,26,13,10,32,50
train,002_2_c10_003506,4,1,12,24,0,30,53,52,51
train,002_2_c10_003507,4,9,12,1,32,18,59,17,19
train,002_2_c10_003508,1,9,3,24,38,42,19,73,77
train,002_2_c10_003509,1,7,1,13,17,36,1,78,16
train,002_2_c10_003510,1,6,5,17,2,12,47,79,1
train,002_2_c10_003511,1,9,7,19,4,4,1,18,16
train,002_2_c10_003512,0,7,9,4,33,48,37,53,31
train,002_2_c10_003513,1,9,3,5,37,28,25,4,99
train,002_2_c10_003514,1,9,3,5,37,28,25,49,45
train,002_2_c10_003515,2,5,5,17,2,12,4,79,87
train,002_2_c10_003516,2,0,4,0,5,29,13,22,23
train,002_2_c10_003517,4,0,7,6,6,4,17,18,12
train,002_2_c2_003518,1,7,1,13,25,7,30,15,35
train,002_2_c2_003519,0,2,8,4,34,48,54,74,31
train,002_2_c2_003520,4,1,10,11,21,38,45,40,95
train,002_2_c2_003521,4,1,12,24,0,30,53,52,51
train,002_2_c2_003522,1,6,18,27,15,12,7,23,43
train,002_2_c2_003523,4,1,8,2,30,26,44,5,57
train,002_2_c2_003524,4,0,8,2,12,46,0,3,97
train,002_2_c2_003525,4,1,8,2,30,46,44,34,57
train,002_2_c2_003526,1,4,12,1,32,18,59,43,19
train,002_2_c3_003505,1,9,1,5,37,33,41,70,91
train,002_2_c3_003527,3,3,4,15,36,44,27,59,77
train,002_2_c3_003528,1,5,5,17,2,12,47,37,1
train,002_2_c3_003529,1,7,1,10,9,33,9,28,76
train,002_2_c3_003530,1,9,19,5,37,24,35,70,88
train,002_2_c8_003531,4,9,12,1,0,30,53,52,51
train,002_2_c8_003532,4,9,12,1,32,18,59,43,19
train,002_2_c8_003533,4,1,12,1,0,1,44,34,57
train,002_2_c8_003534,3,4,3,29,22,6,15,77,2
train,002_2_c8_003535,1,9,1,23,1,10,41,48,3
train,002_2_c8_003536,1,9,1,19,1,10,1,48,91
train,002_2_c8_003537,1,4,13,29,18,17,40,6,65
train,002_2_c8_003538,0,2,6,14,33,25,31,53,38
train,002_2_c8_003539,2,0,17,16,26,13,57,39,50
train,002_2_c8_003540,1,9,3,5,37,28,35,67,93
train,002_2_c8_003541,3,8,16,12,31,20,36,16,41
train,002_2_c8_003542,2,3,4,15,36,29,47,27,21
train,002_2_c8_003543,2,0,0,8,27,22,52,56,17
train,002_2_c8_003544,1,7,9,22,25,7,1,15,7
train,002_2_c8_003545,1,9,3,5,37,28,25,4,99
train,002_2_c8_003546,3,8,12,18,19,19,18,45,71
train,002_3_c11_003547,2,5,5,8,25,31,55,69,73
train,002_3_c11_003548,1,9,3,5,12,1,0,49,91
train,002_3_c11_003549,4,9,8,19,4,1,35,70,93
train,002_3_c11_003550,2,3,4,17,2,0,47,79,21
train,002_3_c11_003551,1,6,13,29,18,17,39,50,65
train,002_3_c11_003552,1,6,14,18,39,17,39,63,84
train,002_3_c11_003553,0,3,6,18,10,45,5,35,92
train,002_3_c11_003554,3,9,12,1,32,18,18,45,19
train,002_3_c11_003555,2,5,12,1,32,18,59,43,19
train,002_3_c11_003556,4,1,12,1,32,18,59,17,57
train,002_3_c11_003557,4,5,0,8,27,27,52,69,86
train,002_3_c11_003558,3,3,4,0,5,19,13,27,21
train,002_3_c11_003559,1,6,18,7,24,12,38,44,25
train,002_3_c11_003560,1,9,14,6,6,32,17,18,62
train,002_3_c11_003561,3,3,2,18,16,35,24,1,27
train,002_3_c9_003562,3,8,2,20,19,45,18,26,71
train,002_3_c9_003563,1,9,1,23,30,10,14,19,68
train,002_3_c9_003564,1,6,13,23,24,2,14,10,39
train,002_3_c9_003565,2,5,5,17,2,12,47,37,25
train,002_3_c9_003566,2,0,19,24,8,39,16,14,9
train,002_3_c9_003567,2,0,12,1,26,9,59,43,19
train,002_3_c9_003568,4,1,0,8,27,27,52,30,4
train,002_3_c9_003569,3,4,3,5,22,6,32,49,55
train,002_3_c9_003570,3,3,4,0,8,39,34,14,81
train,002_3_c9_003571,1,6,13,7,24,2,8,44,37
train,002_3_c9_003572,4,5,0,28,25,27,52,69,86
train,002_3_c9_003573,4,1,17,16,26,4,57,39,50
train,002_3_c9_003574,3,8,16,12,31,45,36,7,6
train,003_1_c10_015251,0,2,8,4,34,37,44,5,68
train,003_1_c10_015255,2,0,0,28,14,13,10,32,74
train,003_1_c10_015256,0,5,5,17,2,0,47,37,1
train,003_1_c10_015257,3,0,19,20,12,39,32,34,59
train,003_1_c10_015258,0,6,2,20,10,14,49,66,14
train,003_1_c10_015259,1,7,12,1,32,18,59,43,19
train,003_1_c10_015260,0,2,12,1,32,18,59,43,19
train,003_1_c10_015261,0,2,15,4,34,48,43,74,67
train,003_1_c10_015262,3,4,11,29,10,6,15,8,27
train,003_1_c10_015263,4,1,0,28,14,3,52,30,4
train,003_1_c10_015264,1,9,1,23,1,10,14,10,3
train,003_1_c10_015265,1,6,13,7,10,25,8,50,37
train,003_1_c10_015266,1,9,1,23,1,10,1,48,3
train,003_1_c10_015267,3,0,4,0,8,19,34,14,8
train,003_1_c10_015268,3,3,4,0,5,19,34,41,47
train,003_1_c10_015269,2,0,12,1,32,18,59,43,19
train,003_1_c10_015270,4,1,0,28,14,27,52,69,86
train,003_1_c10_015271,4,7,7,6,6,1,35,17,31
train,003_1_c10_015272,4,9,8,2,30,26,29,19,52
train,003_1_c10_015273,4,9,7,19,4,24,3,25,42
train,003_1_c2_015252,3,0,12,1,0,30,32,34,59
train,003_1_c2_015274,0,2,2,20,19,14,51,66,14
train,003_1_c2_015275,3,2,12,1,32,14,49,66,64
train,003_1_c2_015276,1,4,13,10,18,5,38,55,75
train,003_1_c2_015277,4,1,9,4,34,37,44,5,31
train,003_1_c2_015278,3,4,12,3,22,6,32,43,82
train,003_1_c2_015279,1,7,6,21,3,7,56,60,61
train,003_1_c2_015280,4,1,12,1,32,18,59,17,19
train,003_1_c2_015281,4,9,7,19,4,1,35,70,91
train,003_1_c2_015282,1,7,9,13,1,7,1,47,22
train,003_1_c2_015283,0,6,13,7,29,25,22,24,98
train,003_1_c2_015284,4,1,8,19,30,1,44,5,57
train,003_1_c2_015285,0,2,15,25,7,47,50,31,26
train,003_1_c2_015286,1,4,3,29,18,28,40,29,45
train,003_1_c2_015287,3,8,12,1,32,18,59,43,19
train,003_1_c3_015253,1,6,6,13,17,2,9,60,39
train,003_1_c3_015254,2,5,5,9,25,43,6,37,87
train,003_1_c3_015288,1,6,2,7,10,25,8,44,37
train,003_1_c3_015289,4,7,7,19,4,24,3,25,42
train,003_1_c3_015290,3,8,11,3,22,6,18,54,71
train,003_1_c3_015291,3,8,12,1,32,18,59,43,19
train,003_1_c3_015292,3,8,12,1,32,18,59,43,19
train,003_1_c3_015293,3,4,2,20,16,35,28,59,77
train,003_1_c3_015294,3,4,14,18,39,32,58,36,83
train,003_1_c3_015295,3,8,16,12,31,20,18,54,71
train,003_1_c3_015296,4,1,10,26,21,38,46,40,95
train,003_1_c3_015297,4,1,0,28,14,27,52,30,4
train,003_1_c3_015298,1,9,1,10,9,33,41,28,76
train,003_1_c3_015299,1,6,13,7,24,25,22,51,98
train,003_1_c3_015300,3,8,16,12,5,19,18,16,13
train,003_1_c8_015301,3,3,12,1,32,18,59,43,19
train,003_1_c8_015302,1,9,19,5,19,1,35,45,88
train,003_1_c8_015303,3,8,16,12,35,41,36,54,13
train,003_1_c8_015304,1,9,12,23,32,2,14,10,91
train,003_1_c8_015305,4,1,12,1,32,18,59,43,19
train,003_1_c8_015306,4,1,10,26,30,1,44,5,57
train,003_1_c8_015307,4,1,10,26,21,38,46,61,58
train,003_1_c8_015308,4,1,7,11,11,40,3,20,15
train,003_1_c8_015309,1,9,8,23,3,1,14,55,61
train,003_1_c8_015310,1,7,14,13,3,36,1,78,61
train,003_1_c8_015311,3,8,12,24,0,30,53,52,51
train,003_1_c8_015312,4,1,10,11,11,37,33,76,48
train,003_1_c8_015313,3,8,16,1,31,20,18,54,54
train,003_1_c8_015314,1,7,1,13,1,7,1,48,16
train,003_1_c8_015315,2,3,4,0,5,29,13,22,94
train,004_1_c12_000396,1,9,1,19,1,10,14,48,3
train,004_1_c12_000397,1,9,19,5,12,46,0,11,59
train,004_1_c12_000398,1,4,13,7,24,5,40,29,75
train,004_1_c12_000399,1,6,13,7,24,44,7,44,30
train,004_1_c12_000400,2,5,5,17,2,12,4,37,25
train,004_1_c12_000401,1,9,1,23,1,36,39,10,53
train,004_1_c12_000402,0,2,15,25,7,11,31,31,26
train,004_1_c1_000403,2,5,5,17,2,12,47,37,1
train,004_1_c1_000404,1,6,13,23,24,2,39,10,30
train,004_1_c1_000405,1,9,1,23,1,10,39,10,3
train,004_1_c2_000392,1,6,14,18,39,36,58,78,53
train,004_1_c2_000406,2,5,5,9,25,31,6,37,73
train,004_1_c2_000407,3,4,2,20,19,14,51,59,47
train,004_1_c2_000408,4,1,7,19,4,24,3,25,42
train,004_1_c2_000409,1,9,3,5,37,28,25,49,88
train,004_1_c2_000410,1,6,18,10,9,44,7,73,77
train,004_1_c2_000411,4,7,7,19,9,24,37,5,31
train,004_1_c2_000412,3,4,3,24,0,30,53,52,51
train,004_1_c2_000413,1,6,13,7,24,5,40,6,30
train,004_1_c2_000414,0,2,15,4,33,48,37,74,67
train,004_1_c2_000415,1,9,1,10,9,33,41,28,3
train,004_1_c2_000416,3,8,11,24,0,30,11,62,54
train,004_1_c2_000417,3,4,12,1,0,30,53,52,51
train,004_1_c4_000393,1,6,13,23,24,44,39,44,30
train,004_1_c4_000418,3,4,11,20,22,6,15,77,55
train,004_1_c4_000419,1,4,3,29,18,5,40,29,55
train,004_1_c4_000420,1,7,1,22,28,7,42,15,35
train,004_1_c4_000421,3,8,16,12,35,41,36,42,41
train,004_1_c4_000422,1,7,1,13,17,36,21,78,39
train,004_1_c4_000423,1,6,13,23,24,17,39,10,75
train,004_1_c4_000424,1,9,3,24,38,42,19,57,11
train,004_1_c4_000425,1,9,3,5,37,10,25,49,91
train,004_1_c4_000426,1,6,18,27,24,44,7,44,30
train,004_1_c5_000394,1,6,13,23,24,2,14,10,30
train,004_1_c5_000427,3,8,16,12,31,20,23,54,56
train,004_1_c5_000428,1,7,1,13,25,31,1,15,35
train,004_1_c5_000429,1,4,3,23,37,10,25,45,75
train,004_1_c5_000430,1,6,13,7,24,5,40,6,30
train,004_1_c5_000431,1,6,13,7,24,2,8,44,30
train,004_1_c5_000432,2,5,5,17,2,12,47,79,1
train,004_1_c7_000433,0,3,2,15,10,35,5,9,46
train,004_1_c7_000434,2,3,4,0,23,29,47,68,21
train,004_1_c7_000435,2,3,4,0,36,29,13,27,94
train,004_1_c7_000436,3,4,2,18,39,35,58,63,60
train,004_1_c7_000437,3,4,11,3,16,35,24,1,33
train,004_1_c7_000438,3,4,2,3,16,35,24,1,33
train,004_1_c8_000395,3,8,16,12,35,41,34,42,18
train,004_1_c8_000439,4,0,19,8,27,22,16,11,9
train,004_1_c8_000440,3,4,2,29,19,6,18,26,40
train,004_1_c8_000441,2,3,4,15,36,15,27,27,21
train,004_1_c8_000442,3,8,11,3,22,21,11,38,82
train,004_1_c8_000443,3,4,11,3,22,6,11,38,82
train,004_1_c8_000444,3,8,16,12,31,20,36,42,41
train,004_1_c8_000445,2,5,5,9,23,49,6,68,73
train,004_1_c8_000446,1,7,6,22,3,23,56,55,89
train,004_1_c8_000447,4,1,10,26,21,38,2,61,48
train,004_1_c8_000448,3,3,14,18,39,45,58,63,60
train,004_1_c8_000449,2,5,5,9,23,49,47,68,94
train,004_1_c8_000450,3,4,2,18,16,35,58,6,60
train,004_1_c8_000451,2,3,4,0,8,29,20,72,81
train,004_1_c8_000452,1,6,6,7,24,2,38,19,68
train,004_1_c8_000453,4,1,10,26,21,38,2,40,95
train,004_2_c2_000454,4,9,7,24,38,24,35,70,24
train,004_2_c2_000455,1,6,18,27,24,12,7,44,25
train,004_2_c2_000456,1,4,13,29,18,5,40,6,75
train,004_2_c2_000457,0,6,6,14,10,25,22,51,98
train,004_2_c2_000458,0,2,15,4,33,48,37,33,67
train,004_2_c2_000459,1,7,1,23,1,10,14,48,3
train,004_2_c2_000460,1,6,1,23,1,7,14,10,39
train,004_2_c2_000461,0,6,18,27,29,15,55,35,46
train,004_2_c8_000462,4,1,7,28,26,13,2,32,93
train,004_2_c8_000463,1,7,1,13,17,7,1,60,39
train,004_2_c8_000464,3,8,16,12,35,41,36,16,41
train,004_2_c8_000465,1,4,3,29,18,17,40,6,65
train,004_2_c8_000466,3,4,3,29,22,6,15,8,2
train,004_2_c8_000467,2,3,4,0,8,29,27,27,81
train,004_2_c8_000468,1,7,1,22,30,26,29,19,7
train,004_2_c8_000469,1,7,1,13,17,36,41,78,16
train,004_2_c8_000470,1,4,14,18,39,32,26,36,83
train,004_2_c8_000471,1,6,14,18,39,36,58,63,60
