Category,Image,R_LA_5,R_LAC_5,R_A_5,N_LA_5,N_LAC_5,N_A_5,R_LA_10,R_LAC_10,R_A_10,N_LA_10,N_LAC_10,N_A_10,R_LA_15,R_LAC_15,R_A_15,N_LA_15,N_LAC_15,N_A_15,R_LA_20,R_LAC_20,R_A_20,N_LA_20,N_LAC_20,N_A_20,R_LA_25,R_LAC_25,R_A_25,N_LA_25,N_LAC_25,N_A_25,R_LA_30,R_LAC_30,R_A_30,N_LA_30,N_LAC_30,N_A_30,R_LA_35,R_LAC_35,R_A_35,N_LA_35,N_LAC_35,N_A_35,R_LA_40,R_LAC_40,R_A_40,N_LA_40,N_LAC_40,N_A_40
train,000_1_c10_001016,2.0,2.0,4.0,3.0,4.0,5.0,6.0,7.0,6.0,6.0,6.0,7.0,4.0,2.0,3.0,4.0,9.0,10.0,17.0,15.0,6.0,20.0,7.0,5.0,15.0,8.0,14.0,12.0,1.0,11.0,15.0,5.0,11.0,17.0,13.0,15.0,29.0,12.0,28.0,9.0,35.0,4.0,1.0,16.0,8.0,13.0,20.0,29.0
train,000_1_c10_001017,1.0,4.0,5.0,3.0,4.0,5.0,2.0,1.0,1.0,8.0,3.0,6.0,14.0,7.0,2.0,5.0,14.0,5.0,2.0,17.0,2.0,2.0,13.0,7.0,6.0,2.0,23.0,8.0,22.0,8.0,6.0,11.0,20.0,30.0,16.0,16.0,6.0,5.0,23.0,16.0,34.0,5.0,21.0,22.0,3.0,33.0,13.0,18.0
train,000_1_c10_001018,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,1.0,11.0,1.0,4.0,4.0,5.0,5.0,7.0,1.0,14.0,18.0,1.0,12.0,20.0,26.0,17.0,22.0,2.0,33.0,2.0,14.0,7.0,17.0,3.0,1.0,8.0
train,000_1_c10_001019,2.0,2.0,4.0,3.0,4.0,5.0,5.0,7.0,5.0,6.0,9.0,9.0,15.0,14.0,8.0,9.0,10.0,8.0,8.0,12.0,14.0,6.0,8.0,16.0,12.0,18.0,12.0,18.0,16.0,16.0,12.0,18.0,30.0,18.0,22.0,27.0,18.0,22.0,11.0,14.0,14.0,18.0,10.0,28.0,38.0,24.0,40.0,10.0
train,000_1_c10_001020,2.0,2.0,4.0,3.0,4.0,5.0,6.0,7.0,6.0,6.0,6.0,7.0,4.0,2.0,3.0,4.0,9.0,10.0,17.0,15.0,6.0,20.0,7.0,5.0,7.0,8.0,14.0,12.0,1.0,11.0,7.0,5.0,2.0,17.0,13.0,15.0,3.0,12.0,4.0,9.0,35.0,4.0,28.0,16.0,31.0,13.0,20.0,6.0
train,000_1_c10_001021,3.0,1.0,2.0,4.0,1.0,3.0,4.0,8.0,8.0,9.0,2.0,4.0,12.0,4.0,14.0,8.0,3.0,2.0,4.0,5.0,5.0,19.0,9.0,6.0,10.0,15.0,7.0,6.0,2.0,4.0,10.0,7.0,10.0,15.0,9.0,7.0,9.0,16.0,30.0,26.0,25.0,3.0,36.0,19.0,5.0,11.0,28.0,38.0
train,000_1_c10_001022,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,1.0,18.0,1.0,4.0,4.0,1.0,20.0,13.0,1.0,14.0,3.0,21.0,3.0,17.0,30.0,32.0,3.0,13.0,3.0,13.0,3.0,13.0,9.0,39.0,15.0,39.0
train,000_1_c10_001023,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,17.0,18.0,1.0,4.0,4.0,1.0,20.0,13.0,1.0,14.0,3.0,21.0,3.0,17.0,30.0,32.0,3.0,13.0,3.0,13.0,3.0,13.0,9.0,39.0,15.0,39.0
train,000_1_c10_001024,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,17.0,18.0,1.0,4.0,4.0,1.0,20.0,13.0,1.0,14.0,3.0,21.0,3.0,17.0,30.0,32.0,3.0,13.0,3.0,13.0,3.0,13.0,9.0,39.0,15.0,39.0
train,000_1_c10_001025,5.0,5.0,3.0,2.0,2.0,2.0,10.0,2.0,7.0,2.0,1.0,1.0,5.0,1.0,13.0,6.0,6.0,12.0,13.0,13.0,18.0,8.0,10.0,12.0,11.0,23.0,17.0,13.0,18.0,5.0,11.0,12.0,26.0,12.0,14.0,19.0,11.0,1.0,25.0,34.0,10.0,20.0,34.0,39.0,28.0,31.0,38.0,22.0
train,000_1_c10_001026,4.0,2.0,1.0,2.0,2.0,2.0,5.0,7.0,5.0,2.0,1.0,1.0,15.0,14.0,8.0,6.0,6.0,12.0,8.0,12.0,14.0,8.0,10.0,12.0,12.0,18.0,12.0,13.0,18.0,5.0,12.0,18.0,13.0,12.0,14.0,19.0,18.0,22.0,11.0,34.0,10.0,20.0,10.0,28.0,38.0,31.0,38.0,22.0
train,000_1_c10_001027,5.0,5.0,3.0,2.0,2.0,2.0,10.0,2.0,7.0,2.0,1.0,1.0,5.0,1.0,13.0,6.0,6.0,12.0,13.0,13.0,18.0,8.0,10.0,12.0,11.0,23.0,17.0,13.0,11.0,19.0,11.0,12.0,1.0,12.0,18.0,21.0,11.0,1.0,25.0,34.0,10.0,20.0,34.0,39.0,14.0,31.0,38.0,7.0
train,000_1_c2_001004,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,9.0,10.0,8.0,9.0,1.0,1.0,15.0,17.0,18.0,1.0,12.0,11.0,1.0,20.0,13.0,21.0,4.0,3.0,21.0,3.0,17.0,30.0,32.0,3.0,13.0,3.0,25.0,3.0,13.0,9.0,5.0,15.0,39.0
train,000_1_c2_001005,5.0,5.0,3.0,2.0,2.0,2.0,1.0,6.0,7.0,2.0,1.0,1.0,5.0,1.0,13.0,6.0,6.0,12.0,13.0,13.0,18.0,8.0,10.0,12.0,18.0,23.0,5.0,13.0,18.0,5.0,18.0,23.0,26.0,12.0,14.0,19.0,34.0,1.0,25.0,34.0,10.0,20.0,34.0,39.0,28.0,31.0,38.0,22.0
train,000_1_c2_001028,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,1.0,18.0,1.0,4.0,4.0,1.0,20.0,13.0,1.0,14.0,3.0,21.0,3.0,17.0,30.0,32.0,3.0,13.0,3.0,13.0,3.0,13.0,9.0,39.0,15.0,39.0
train,000_1_c2_001029,1.0,4.0,5.0,3.0,4.0,5.0,2.0,9.0,10.0,8.0,3.0,6.0,2.0,6.0,15.0,14.0,2.0,15.0,15.0,4.0,11.0,9.0,3.0,2.0,20.0,11.0,24.0,10.0,8.0,2.0,20.0,24.0,8.0,14.0,2.0,2.0,10.0,11.0,10.0,28.0,12.0,23.0,9.0,6.0,26.0,2.0,3.0,17.0
train,000_1_c2_001030,1.0,4.0,5.0,3.0,4.0,5.0,2.0,9.0,10.0,8.0,3.0,6.0,2.0,6.0,15.0,14.0,2.0,15.0,15.0,4.0,11.0,9.0,3.0,2.0,20.0,11.0,24.0,10.0,8.0,2.0,29.0,16.0,8.0,14.0,2.0,2.0,10.0,28.0,14.0,8.0,32.0,23.0,9.0,11.0,2.0,2.0,3.0,17.0
train,000_1_c2_001031,1.0,4.0,5.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,7.0,5.0,14.0,7.0,2.0,11.0,5.0,3.0,20.0,8.0,3.0,5.0,17.0,18.0,6.0,24.0,10.0,1.0,20.0,13.0,28.0,9.0,4.0,21.0,3.0,17.0,8.0,2.0,2.0,13.0,3.0,13.0,2.0,30.0,15.0,39.0,15.0,39.0
train,000_1_c2_001032,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,1.0,18.0,1.0,4.0,4.0,1.0,20.0,13.0,1.0,14.0,3.0,21.0,3.0,17.0,30.0,32.0,3.0,13.0,3.0,13.0,3.0,13.0,9.0,39.0,15.0,39.0
train,000_1_c2_001033,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,17.0,18.0,1.0,4.0,4.0,1.0,20.0,13.0,1.0,14.0,3.0,21.0,3.0,17.0,30.0,32.0,3.0,13.0,3.0,13.0,3.0,13.0,9.0,39.0,15.0,39.0
train,000_1_c2_001034,5.0,5.0,3.0,2.0,2.0,2.0,10.0,2.0,7.0,4.0,5.0,3.0,6.0,11.0,7.0,1.0,1.0,14.0,11.0,6.0,7.0,11.0,11.0,8.0,23.0,1.0,20.0,19.0,3.0,10.0,23.0,13.0,7.0,3.0,30.0,8.0,1.0,9.0,34.0,32.0,13.0,29.0,37.0,9.0,37.0,40.0,5.0,2.0
train,000_1_c2_001035,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,1.0,11.0,1.0,4.0,4.0,5.0,5.0,7.0,1.0,14.0,3.0,1.0,12.0,20.0,30.0,32.0,3.0,2.0,33.0,2.0,3.0,13.0,9.0,3.0,1.0,8.0
train,000_1_c2_001036,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,1.0,11.0,1.0,4.0,4.0,5.0,5.0,7.0,1.0,14.0,18.0,1.0,12.0,20.0,26.0,17.0,22.0,2.0,33.0,2.0,14.0,7.0,17.0,3.0,1.0,8.0
train,000_1_c2_001037,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,1.0,11.0,1.0,4.0,4.0,5.0,5.0,7.0,1.0,14.0,18.0,1.0,12.0,20.0,26.0,17.0,22.0,2.0,33.0,2.0,14.0,7.0,17.0,3.0,1.0,8.0
train,000_1_c2_001038,3.0,1.0,2.0,3.0,4.0,5.0,8.0,5.0,4.0,8.0,3.0,6.0,10.0,12.0,6.0,14.0,2.0,15.0,9.0,1.0,1.0,9.0,3.0,2.0,1.0,4.0,4.0,10.0,8.0,2.0,1.0,14.0,18.0,14.0,2.0,2.0,26.0,17.0,22.0,28.0,12.0,23.0,14.0,7.0,17.0,2.0,3.0,17.0
train,000_1_c2_001039,1.0,4.0,5.0,3.0,4.0,5.0,2.0,9.0,10.0,8.0,3.0,6.0,2.0,6.0,15.0,14.0,2.0,15.0,15.0,4.0,11.0,9.0,3.0,2.0,20.0,11.0,24.0,10.0,8.0,2.0,20.0,30.0,8.0,14.0,2.0,2.0,10.0,11.0,10.0,28.0,12.0,23.0,9.0,6.0,26.0,2.0,3.0,17.0
train,000_1_c2_001040,5.0,5.0,3.0,2.0,2.0,2.0,10.0,2.0,7.0,2.0,1.0,1.0,5.0,1.0,13.0,6.0,6.0,12.0,13.0,13.0,18.0,8.0,10.0,12.0,11.0,23.0,17.0,13.0,18.0,5.0,30.0,12.0,26.0,12.0,14.0,19.0,11.0,1.0,25.0,34.0,10.0,20.0,34.0,39.0,34.0,31.0,38.0,22.0
train,000_1_c2_001041,3.0,1.0,2.0,1.0,3.0,4.0,8.0,5.0,4.0,3.0,7.0,5.0,10.0,12.0,6.0,11.0,5.0,3.0,9.0,1.0,1.0,5.0,1.0,18.0,1.0,4.0,4.0,1.0,20.0,13.0,1.0,14.0,3.0,21.0,3.0,17.0,30.0,32.0,3.0,13.0,3.0,13.0,3.0,13.0,9.0,39.0,15.0,39.0
train,000_1_c2_001042,1.0,4.0,5.0,3.0,4.0,5.0,2.0,9.0,10.0,8.0,3.0,6.0,2.0,6.0,15.0,14.0,2.0,15.0,15.0,4.0,11.0,9.0,3.0,2.0,20.0,11.0,24.0,10.0,8.0,2.0,29.0,30.0,8.0,14.0,2.0,2.0,10.0,11.0,14.0,8.0,32.0,23.0,9.0,6.0,2.0,2.0,3.0,17.0
train,000_1_c2_001043,5.0,5.0,3.0,2.0,2.0,2.0,9.0,2.0,9.0,10.0,10.0,10.0,8.0,9.0,1.0,10.0,4.0,9.0,12.0,11.0,9.0,12.0,19.0,15.0,13.0,14.0,15.0,17.0,9.0,12.0,26.0,26.0,17.0,13.0,6.0,11.0,16.0,19.0,12.0,22.0,23.0,6.0,35.0,25.0,1.0,22.0,26.0,16.0
train,000_1_c2_001044,2.0,2.0,4.0,3.0,4.0,5.0,6.0,7.0,6.0,6.0,6.0,7.0,4.0,2.0,3.0,4.0,9.0,10.0,17.0,15.0,6.0,20.0,7.0,5.0,7.0,8.0,14.0,12.0,1.0,11.0,7.0,5.0,2.0,17.0,13.0,15.0,3.0,12.0,4.0,9.0,35.0,4.0,28.0,16.0,31.0,13.0,20.0,6.0
train,000_1_c3_001006,1.0,4.0,5.0,3.0,4.0,5.0,2.0,1.0,1.0,8.0,3.0,6.0,14.0,7.0,2.0,5.0,14.0,5.0,20.0,17.0,2.0,2.0,13.0,7.0,6.0,24.0,10.0,8.0,22.0,8.0,28.0,9.0,4.0,30.0,16.0,16.0,8.0,2.0,2.0,16.0,2.0,26.0,2.0,30.0,15.0,4.0,2.0,20.0
train,000_1_c3_001045,1.0,4.0,5.0,3.0,4.0,5.0,2.0,1.0,1.0,8.0,3.0,6.0,14.0,7.0,2.0,5.0,14.0,5.0,2.0,17.0,2.0,2.0,13.0,7.0,6.0,2.0,23.0,8.0,22.0,8.0,6.0,11.0,20.0,30.0,16.0,16.0,6.0,5.0,23.0,16.0,34.0,5.0,21.0,22.0,3.0,33.0,13.0,18.0
train,000_1_c3_001046,1.0,4.0,5.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,7.0,5.0,14.0,7.0,2.0,11.0,5.0,3.0,2.0,17.0,2.0,5.0,1.0,11.0,6.0,2.0,23.0,5.0,5.0,7.0,6.0,11.0,20.0,1.0,12.0,20.0,6.0,5.0,23.0,2.0,33.0,2.0,21.0,22.0,3.0,3.0,1.0,8.0
train,000_1_c3_001047,1.0,4.0,5.0,3.0,4.0,5.0,2.0,1.0,1.0,8.0,3.0,6.0,14.0,7.0,2.0,5.0,14.0,5.0,2.0,17.0,2.0,2.0,13.0,7.0,6.0,2.0,23.0,8.0,22.0,8.0,6.0,11.0,20.0,8.0,8.0,4.0,6.0,5.0,23.0,16.0,34.0,5.0,21.0,22.0,3.0,33.0,32.0,4.0
train,000_1_c3_001048,3.0,1.0,2.0,5.0,5.0,1.0,3.0,5.0,2.0,7.0,8.0,8.0,1.0,12.0,4.0,3.0,7.0,7.0,18.0,14.0,19.0,10.0,16.0,3.0,25.0,21.0,18.0,23.0,7.0,20.0,25.0,28.0,22.0,6.0,19.0,22.0,14.0,24.0,20.0,24.0,24.0,19.0,4.0,3.0,22.0,15.0,27.0,1.0
train,000_1_c3_001049,5.0,5.0,3.0,2.0,2.0,2.0,9.0,2.0,9.0,10.0,10.0,10.0,8.0,9.0,1.0,10.0,4.0,9.0,12.0,11.0,9.0,12.0,19.0,15.0,13.0,14.0,15.0,17.0,9.0,12.0,26.0,21.0,17.0,13.0,6.0,11.0,16.0,19.0,12.0,22.0,23.0,6.0,35.0,1.0,1.0,22.0,26.0,37.0
train,000_1_c3_001050,4.0,3.0,1.0,4.0,1.0,3.0,7.0,4.0,3.0,5.0,4.0,9.0,13.0,10.0,14.0,8.0,8.0,6.0,3.0,7.0,20.0,19.0,17.0,10.0,4.0,23.0,21.0,20.0,21.0,1.0,30.0,29.0,5.0,24.0,1.0,28.0,35.0,1.0,15.0,35.0,17.0,31.0,31.0,40.0,34.0,27.0,25.0,36.0
train,000_1_c3_001051,1.0,4.0,5.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,7.0,5.0,14.0,7.0,2.0,11.0,5.0,3.0,20.0,17.0,2.0,5.0,1.0,18.0,6.0,24.0,10.0,1.0,20.0,13.0,28.0,9.0,4.0,21.0,3.0,17.0,8.0,2.0,2.0,13.0,3.0,13.0,2.0,30.0,15.0,39.0,15.0,39.0
train,000_1_c3_001052,1.0,4.0,5.0,1.0,3.0,4.0,8.0,9.0,10.0,3.0,7.0,5.0,2.0,6.0,15.0,14.0,2.0,15.0,15.0,4.0,11.0,9.0,3.0,2.0,20.0,11.0,24.0,10.0,8.0,2.0,20.0,30.0,8.0,14.0,2.0,2.0,10.0,28.0,14.0,28.0,12.0,11.0,9.0,4.0,2.0,2.0,3.0,17.0
train,000_1_c3_001053,3.0,1.0,2.0,1.0,3.0,4.0,8.0,9.0,10.0,3.0,7.0,5.0,2.0,6.0,15.0,14.0,2.0,15.0,15.0,4.0,11.0,9.0,3.0,2.0,20.0,11.0,24.0,10.0,8.0,2.0,20.0,30.0,8.0,14.0,2.0,2.0,10.0,28.0,10.0,8.0,32.0,23.0,9.0,4.0,26.0,2.0,3.0,17.0
train,000_1_c3_001054,1.0,4.0,5.0,3.0,4.0,5.0,2.0,9.0,10.0,8.0,3.0,6.0,2.0,6.0,15.0,14.0,2.0,15.0,15.0,4.0,11.0,9.0,3.0,2.0,20.0,11.0,24.0,10.0,8.0,2.0,20.0,16.0,8.0,14.0,2.0,2.0,10.0,34.0,10.0,8.0,32.0,23.0,9.0,35.0,26.0,2.0,3.0,17.0
train,000_1_c3_001055,3.0,2.0,2.0,3.0,4.0,5.0,8.0,9.0,4.0,6.0,6.0,7.0,2.0,2.0,6.0,14.0,2.0,15.0,15.0,15.0,1.0,9.0,3.0,2.0,7.0,8.0,4.0,10.0,8.0,2.0,7.0,5.0,2.0,14.0,2.0,2.0,3.0,29.0,4.0,8.0,32.0,23.0,20.0,4.0,31.0,2.0,3.0,6.0
train,000_1_c3_001056,2.0,2.0,4.0,3.0,4.0,5.0,6.0,9.0,10.0,6.0,6.0,7.0,2.0,2.0,15.0,14.0,2.0,15.0,17.0,15.0,6.0,9.0,3.0,2.0,7.0,8.0,14.0,12.0,8.0,11.0,7.0,5.0,2.0,17.0,13.0,15.0,3.0,29.0,4.0,8.0,32.0,23.0,20.0,4.0,31.0,2.0,20.0,6.0
train,000_1_c3_001057,5.0,5.0,3.0,2.0,2.0,2.0,10.0,2.0,7.0,4.0,5.0,3.0,6.0,11.0,7.0,1.0,1.0,14.0,11.0,6.0,7.0,11.0,11.0,8.0,3.0,1.0,20.0,19.0,3.0,10.0,3.0,13.0,7.0,3.0,30.0,8.0,1.0,9.0,34.0,32.0,13.0,29.0,37.0,9.0,37.0,40.0,5.0,2.0
train,000_1_c3_001058,5.0,5.0,3.0,5.0,5.0,1.0,1.0,6.0,7.0,7.0,8.0,8.0,7.0,5.0,10.0,3.0,7.0,7.0,6.0,2.0,4.0,4.0,6.0,14.0,8.0,17.0,13.0,9.0,17.0,6.0,8.0,25.0,24.0,29.0,20.0,5.0,21.0,18.0,6.0,10.0,7.0,15.0,11.0,34.0,18.0,30.0,29.0,9.0
train,000_1_c8_001059,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,10.0,10.0,10.0,1.0,8.0,4.0,10.0,4.0,9.0,18.0,14.0,19.0,14.0,14.0,15.0,25.0,21.0,18.0,16.0,14.0,21.0,25.0,28.0,22.0,19.0,6.0,30.0,14.0,24.0,20.0,29.0,19.0,30.0,4.0,3.0,22.0,20.0,36.0,12.0
train,000_1_c8_001060,5.0,5.0,3.0,2.0,2.0,2.0,9.0,2.0,9.0,10.0,10.0,10.0,8.0,9.0,1.0,10.0,4.0,9.0,12.0,11.0,9.0,12.0,19.0,15.0,13.0,14.0,15.0,17.0,9.0,12.0,26.0,26.0,17.0,13.0,6.0,11.0,16.0,19.0,12.0,22.0,23.0,6.0,35.0,1.0,1.0,22.0,26.0,37.0
train,000_1_c8_001061,5.0,5.0,3.0,5.0,5.0,1.0,9.0,2.0,9.0,7.0,8.0,8.0,8.0,9.0,1.0,3.0,7.0,7.0,12.0,11.0,9.0,4.0,6.0,14.0,13.0,14.0,15.0,9.0,17.0,6.0,26.0,26.0,17.0,29.0,20.0,5.0,16.0,19.0,12.0,10.0,7.0,15.0,35.0,1.0,1.0,30.0,29.0,9.0
train,000_1_c8_001062,1.0,4.0,5.0,3.0,4.0,5.0,2.0,1.0,1.0,8.0,3.0,6.0,14.0,7.0,2.0,5.0,14.0,5.0,2.0,17.0,2.0,2.0,13.0,7.0,6.0,2.0,23.0,8.0,22.0,8.0,6.0,11.0,20.0,30.0,16.0,16.0,6.0,5.0,23.0,16.0,2.0,5.0,21.0,22.0,27.0,32.0,13.0,18.0
train,000_1_c8_001063,1.0,4.0,5.0,3.0,4.0,5.0,2.0,1.0,1.0,8.0,3.0,2.0,3.0,15.0,5.0,5.0,14.0,5.0,16.0,18.0,17.0,2.0,13.0,4.0,2.0,22.0,6.0,14.0,24.0,8.0,2.0,15.0,25.0,22.0,4.0,16.0,13.0,13.0,18.0,15.0,34.0,5.0,19.0,23.0,11.0,29.0,13.0,18.0
train,000_1_c8_001064,1.0,4.0,5.0,3.0,4.0,5.0,2.0,1.0,1.0,8.0,3.0,6.0,14.0,7.0,2.0,5.0,14.0,5.0,16.0,20.0,17.0,2.0,13.0,7.0,2.0,16.0,6.0,8.0,22.0,8.0,2.0,2.0,16.0,8.0,8.0,4.0,13.0,14.0,18.0,1.0,22.0,26.0,19.0,2.0,16.0,8.0,32.0,4.0
train,000_1_c8_001065,1.0,4.0,5.0,3.0,4.0,5.0,2.0,1.0,1.0,8.0,3.0,6.0,14.0,7.0,2.0,5.0,14.0,5.0,2.0,17.0,2.0,2.0,13.0,7.0,6.0,2.0,23.0,8.0,22.0,8.0,6.0,11.0,20.0,30.0,16.0,16.0,6.0,5.0,23.0,16.0,34.0,5.0,21.0,22.0,27.0,32.0,13.0,18.0
train,000_1_c8_001066,1.0,4.0,5.0,3.0,4.0,5.0,2.0,9.0,10.0,8.0,3.0,6.0,2.0,6.0,15.0,14.0,2.0,15.0,15.0,4.0,11.0,9.0,3.0,2.0,20.0,11.0,24.0,10.0,8.0,2.0,29.0,30.0,8.0,14.0,2.0,2.0,10.0,28.0,14.0,8.0,32.0,23.0,9.0,11.0,2.0,2.0,3.0,17.0
train,000_1_c8_001067,5.0,5.0,3.0,2.0,2.0,2.0,1.0,6.0,7.0,4.0,5.0,3.0,7.0,5.0,10.0,13.0,12.0,4.0,6.0,2.0,4.0,7.0,4.0,9.0,8.0,7.0,13.0,7.0,10.0,17.0,8.0,25.0,24.0,27.0,21.0,13.0,21.0,18.0,6.0,25.0,16.0,28.0,11.0,29.0,18.0,14.0,10.0,24.0
